Nome da Variável,Descrição da Variável,Categoria
IN_INTERNET_ALUNOS,Acesso à Internet - Para uso dos alunos,"0 - Não
1 - Sim"
IN_INTERNET_ADMINISTRATIVO,Acesso à Internet - Para uso administrativo,"0 - Não
1 - Sim"
IN_INTERNET_APRENDIZAGEM,Acesso à Internet - Para uso nos processos de ensino e aprendizagem,"0 - Não
1 - Sim"
IN_INTERNET_COMUNIDADE,Acesso à Internet - Para uso da comunidade,"0 - Não
1 - Sim"
IN_ACESSO_INTERNET_COMPUTADOR,"Equipamentos que os alunos usam para acessar a internet da escola - Computadores de mesa, portáteis e tablets da escola (no laboratório de informática, biblioteca, sala de aula etc.)","0 - Não
1 - Sim
9 - Não informado"
IN_ACES_INTERNET_DISP_PESSOAIS,"Equipamentos que os alunos usam para acessar a internet da escola - Dispositivos pessoais (computadores portáteis, celulares, tablets etc.)","0 - Não
1 - Sim
9 - Não informado"
TP_REDE_LOCAL,Rede local de interligação de computadores,"0 - Não há rede local interligando computadores
1 - A cabo
2 - Wireless
3 - A cabo e Wireless
9 - Não informado"
IN_BANDA_LARGA,Internet Banda Larga,"0 - Não
1 - Sim
   - Não aplicável para escolas sem acesso à internet"
QT_FUNCIONARIOS,Total de funcionários da escola (inclusive profissionais escolares em sala de aula),
IN_PROF_ADMINISTRATIVOS,"Profissionais que atuam na escola - Auxiliares de secretaria ou auxiliares administrativos, atendentes","0 - Não
1 - Sim"
QT_PROF_ADMINISTRATIVOS,"Quantidade de profissionais que atuam na escola - Auxiliares de secretaria ou auxiliares administrativos, atendentes",88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_SERVICOS_GERAIS,"Profissionais que atuam na escola - Auxiliar de serviços gerais, porteiro(a), zelador(a), faxineiro(a), jardineiro(a)","0 - Não
1 - Sim"
QT_PROF_SERVICOS_GERAIS,"Total de profissionais que atuam na escola - Auxiliar de serviços gerais, porteiro(a), zelador(a), faxineiro(a), jardineiro(a)",88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_BIBLIOTECARIO,"Profissionais que atuam na escola - Bibliotecário(a), auxiliar de biblioteca ou monitor(a) da sala de leitura","0 - Não
1 - Sim"
QT_PROF_BIBLIOTECARIO,"Quantidade de profissionais que atuam na escola - Bibliotecário(a), auxiliar de biblioteca ou monitor(a) da sala de leitura",88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_SAUDE,"Profissionais que atuam na escola - Bombeiro(a) brigadista, profissionais de assistência à saúde (urgência e emergência), Enfermeiro(a), Técnico(a) de enfermagem e socorrista","0 - Não
1 - Sim"
QT_PROF_SAUDE,"Quantidade de profissionais que atuam na escola - Bombeiro(a) brigadista, profissionais de assistência à saúde (urgência e emergência), Enfermeiro(a), Técnico(a) de enfermagem e socorrista",88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_COORDENADOR,Profissionais que atuam na escola - Coordenador(a) de turno/disciplina,"0 - Não
1 - Sim"
QT_PROF_COORDENADOR,Quantidade de profissionais que atuam na escola - Coordenador(a) de turno/disciplina,88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_FONAUDIOLOGO,Profissionais que atuam na escola - Fonoaudiólogo(a),"0 - Não
1 - Sim"
QT_PROF_FONAUDIOLOGO,Quantidade de profissionais que atuam na escola - Fonoaudiólogo(a),88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_NUTRICIONISTA,Profissionais que atuam na escola - Nutricionista,"0 - Não
1 - Sim"
QT_PROF_NUTRICIONISTA,Quantidade de profissionais que atuam na escola - Nutricionista,88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_PSICOLOGO,Profissionais que atuam na escola - Psicólogo(a) Escolar,"0 - Não
1 - Sim"
QT_PROF_PSICOLOGO,Quantidade de profissionais que atuam na escola - Psicólogo(a) Escolar,88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_ALIMENTACAO,"Profissionais que atuam na escola - Profissionais de preparação e segurança alimentar, cozinheiro(a), merendeiro(a) e auxiliar de cozinha","0 - Não
1 - Sim"
QT_PROF_ALIMENTACAO,"Quantidade de profissionais que atuam na escola -  Profissionais de preparação e segurança alimentar, cozinheiro(a), merendeiro(a) e auxiliar de cozinha",88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_PEDAGOGIA,"Profissionais que atuam na escola -  Profissionais de apoio e supervisão pedagógica: pedagogo(a), coordenador(a) pedagógico(a), orientador(a) educacional, supervisor(a) escolar e coordenador(a) de área de ensino","0 - Não
1 - Sim"
QT_PROF_PEDAGOGIA,"Quantidade de profissionais que atuam na escola -  Profissionais de apoio e supervisão pedagógica: pedagogo(a), coordenador(a) pedagógico(a), orientador(a) educacional, supervisor(a) escolar e coordenador(a) de área de ensino",88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_SECRETARIO,Profissionais que atuam na escola - Secretário(a) escolar,"0 - Não
1 - Sim"
QT_PROF_SECRETARIO,Quantidade de profissionais que atuam na escola - Secretário(a) escolar,88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_SEGURANCA,"Profissionais que atuam na escola - Segurança, guarda ou segurança patrimonial","0 - Não
1 - Sim"
QT_PROF_SEGURANCA,"Quantidade de profissionais que atuam na escola - Segurança, guarda ou segurança patrimonial",88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula)
IN_PROF_MONITORES,"Profissionais que atuam na escola - Técnicos(as), monitores(as), supervisores(as) ou auxiliares de laboratório(s), de apoio a tecnologias educacionais ou em multimeios/multimídias eletrônico/digitais","0 - Não
1 - Sim"
